;unnamed: 1_level_0;própria residência ou de terceiros;estabele-cimento comercial;via pública;transporte coletivo;outro
;100.0;47.59633730558798;12.157611658718691;26.840558393716265;4.415808420554449;8.989684221422626
dinheiro, cartão de débito ou crédito, ou cheque;100;37.44;14.56;33.07;7.89;7.04
telefone celular;100;30.42;15.25;33.83;8.88;11.62
documentos ou objetos pessoais;100;48.69;8.93;30.7;5.73;5.94
carro, motocicleta ou bicicleta;100;44.77;11.35;36.76;0.14;6.97
outro;100;66.35;9.46;15.71;0.72;7.76
norte;100;61.01;9.62;19.17;2.99;7.22
dinheiro, cartão de débito ou crédito, ou cheque;100;56.57;9.37;23.7;5.8;4.56
telefone celular;100;46.01;11.05;27.37;5.91;9.66
documentos ou objetos pessoais;100;69.84;6.99;17.17;3.0;3.0
carro, motocicleta ou bicicleta;100;50.7;12.64;27.3;0.0;9.36
outro;100;80.84;6.58;7.63;0.28;4.68
nordeste;100;49.07;11.99;25.14;4.45;9.35
dinheiro, cartão de débito ou crédito, ou cheque;100;44.87;12.09;30.8;6.68;5.56
telefone celular;100;33.55;14.36;32.75;8.69;10.66
documentos ou objetos pessoais;100;53.34;7.62;28.9;5.21;4.93
carro, motocicleta ou bicicleta;100;45.08;13.79;33.82;0.0;7.3
outro;100;67.33;9.14;12.81;0.9;9.82
sudeste;100;39.2;12.86;33.61;4.67;9.66
dinheiro, cartão de débito ou crédito, ou cheque;100;29.58;16.33;39.41;7.78;6.9
telefone celular;100;22.68;16.05;39.41;9.19;12.68
documentos ou objetos pessoais;100;37.12;10.08;39.83;5.95;7.02
carro, motocicleta ou bicicleta;100;39.42;6.6;46.85;0.35;6.78
outro;100;60.2;10.59;20.19;0.6;8.42
sul;100;55.65;11.44;22.23;3.13;7.55
dinheiro, cartão de débito ou crédito, ou cheque;100;36.62;15.53;30.53;7.85;9.47
telefone celular;100;37.08;16.09;29.31;6.51;11.01
documentos ou objetos pessoais;100;57.16;8.94;24.36;4.91;4.64
carro, motocicleta ou bicicleta;100;52.07;14.85;29.73;0.0;3.35
outro;100;68.21;8.97;15.8;0.77;6.25
centro-oeste;100;50.06;13.39;20.08;6.85;9.62
dinheiro, cartão de débito ou crédito, ou cheque;100;40.17;15.51;21.41;13.12;9.79
telefone celular;100;33.88;17.09;23.64;13.24;12.15
documentos ou objetos pessoais;100;51.39;8.44;22.43;9.4;8.34
carro, motocicleta ou bicicleta;100;46.76;17.44;25.72;0.0;10.08
