;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;0.29293104748423693;0.5874016290139218;0.48255053442662776;0.6074608901582371;0.4517030138416934;0.32550341147674294
Situação do domicílio;;;;;;
Urbana;0.32;0.88;0.51;0.64;0.47;0.34
Rural;0.67;0.7;1.76;1.99;1.73;1.1
Grandes Regiões e Unidades da Federação;;;;;;
Norte;1.53;1.95;2.99;2.47;2.12;1.41
Rondônia;1.56;2.03;4.88;3.66;2.9;1.97
Acre;4.9;6.12;3.59;3.83;7.88;6.33
Amazonas;2.08;2.2;3.24;4.45;3.36;2.24
Roraima;2.66;3.76;5.46;7.02;4.59;3.42
Pará;3.41;4.29;5.79;5.14;4.05;3.17
Amapá;3.51;3.72;7.78;5.58;5.29;3.6
Tocantins;2.57;3.06;3.39;2.77;3.19;2.31
Nordeste;0.56;0.95;1.06;1.11;0.84;0.61
Maranhão;1.93;2.83;7.34;4.37;3.27;2.63
Piauí;1.89;1.66;5.03;4.29;3.57;2.4
Ceará;0.87;1.49;1.43;2.15;1.65;1.19
Rio Grande do Norte;4.1;6.3;4.91;6.4;5.37;3.61
Paraíba;2.42;5.56;2.68;3.81;2.86;1.93
Pernambuco;1.2;2.01;2.01;1.85;1.93;1.14
Alagoas;2.75;3.0;4.41;4.58;4.63;4.05
Sergipe;2.44;3.65;3.33;5.42;3.7;3.51
Bahia;1.08;2.02;2.41;1.86;1.33;1.0
Sudeste;0.47;1.19;0.74;1.0;0.75;0.52
Minas Gerais;0.99;1.67;1.53;1.71;1.51;1.05
Espírito Santo;1.92;3.45;3.06;2.99;2.93;2.25
Rio de Janeiro;1.16;1.94;1.77;2.58;1.48;1.16
São Paulo;0.64;2.05;0.99;1.48;1.1;0.74
Sul;0.56;1.26;0.77;1.1;0.86;0.68
Paraná;0.93;2.57;1.55;2.0;1.51;1.12
Santa Catarina;1.51;2.77;1.42;2.35;1.96;1.73
Rio Grande do Sul;0.66;1.3;1.02;1.35;1.1;0.83
Centro-Oeste;0.8;1.74;1.43;1.79;1.2;0.87
Mato Grosso do Sul;1.75;2.64;2.53;3.85;2.04;1.94
Mato Grosso;2.08;3.24;2.86;4.82;3.33;2.52
Goiás;1.25;2.56;2.16;2.67;1.9;1.45
Distrito Federal;1.43;3.48;3.63;3.98;2.44;1.4
